Report Date,As of Date,State,Confirmed Cases,Source
,#date,#adm1+name,#affected+infected+confirmed+fatalities,#source+url
,11/24/2020,Abyei PCA,,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,11/24/2020,El Gazira,"1,386",
,11/24/2020,Blue Nile,35,
,11/24/2020,Central Darfur,6,
,11/24/2020,East Darfur,21,
,11/24/2020,Gedaref,293,
,11/24/2020,Kassala,242,
,11/24/2020,Khartoum,"12,531",
,11/24/2020,North Darfur,149,
,11/24/2020,North Kordofan,211,
,11/24/2020,Northern,404,
,11/24/2020,Red Sea,467,
,11/24/2020,River Nile,472,
,11/24/2020,Sennar,267,
,11/24/2020,South Darfur,43,
,11/24/2020,South Kordofan,20,
,11/24/2020,West Darfur,38,
,11/24/2020,West Kordofan,70,
,11/24/2020,White Nile,209,
,11/22/2020,Abyei PCA,,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,11/22/2020,El Gazira,"1,358",
,11/22/2020,Blue Nile,35,
,11/22/2020,Central Darfur,6,
,11/22/2020,East Darfur,21,
,11/22/2020,Gedaref,293,
,11/22/2020,Kassala,242,
,11/22/2020,Khartoum,"12,146",
,11/22/2020,North Darfur,149,
,11/22/2020,North Kordofan,211,
,11/22/2020,Northern,396,
,11/22/2020,Red Sea,464,
,11/22/2020,River Nile,467,
,11/22/2020,Sennar,267,
,11/22/2020,South Darfur,43,
,11/22/2020,South Kordofan,19,
,11/22/2020,West Darfur,38,
,11/22/2020,West Kordofan,70,
,11/22/2020,White Nile,206,
,11/15/2020,Abyei PCA,0,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,11/15/2020,Al Jazirah,"1,281",
,11/15/2020,Blue Nile,32,
,11/15/2020,Central Darfur,6,
,11/15/2020,East Darfur,21,
,11/15/2020,Gedaref,283,
,11/15/2020,Kassala,237,
,11/15/2020,Khartoum,"10,741",
,11/15/2020,North Darfur,149,
,11/15/2020,North Kordofan,209,
,11/15/2020,Northern,389,
,11/15/2020,Red Sea,435,
,11/15/2020,River Nile,454,
,11/15/2020,Sennar,255,
,11/15/2020,South Darfur,41,
,11/15/2020,South Kordofan,17,
,11/15/2020,West Darfur,37,
,11/15/2020,West Kordofan,69,
,11/15/2020,White Nile,200,
,11/13/2020,Abyei PCA,0,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
