admin2,date,elderly_shielding,home,mobility_reduction,other_locations,r0_reduction,school,work
1000,2020-06-07,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-08,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-09,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-10,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-11,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-12,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-13,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-14,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-15,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-16,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-17,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-18,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-19,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-20,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-21,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-22,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-23,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-24,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-25,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-26,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-27,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-28,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-29,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-30,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-07-01,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-07-02,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
