#adm1+pcode,#adm2+pcode,#date,#affected+infected+confirmed+total,#affected+infected+dead+total,created_at,created_by
CD41,CD4107,2020-07-03,0.31663404020311237,0.00820179222434724,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-07-03,0.2743496142893319,0.0071064959780934795,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4108,2020-07-03,0.391405376725935,0.010138599037990992,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4104,2020-07-03,0.14429487772495464,0.003737679642335675,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4109,2020-07-03,0.2402490534187791,0.006223186922583943,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4103,2020-07-03,0.1559076518147251,0.004038486088071841,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4105,2020-07-03,0.1210518410543094,0.0031356137453360067,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4101,2020-07-03,0.3561075447688524,0.009224276991327262,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4107,2020-07-04,0.31663404020311237,0.00820179222434724,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-07-04,0.2743496142893319,0.0071064959780934795,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4108,2020-07-04,0.391405376725935,0.010138599037990992,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4104,2020-07-04,0.14429487772495464,0.003737679642335675,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4109,2020-07-04,0.2402490534187791,0.006223186922583943,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4103,2020-07-04,0.1559076518147251,0.004038486088071841,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4105,2020-07-04,0.1210518410543094,0.0031356137453360067,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4101,2020-07-04,0.3561075447688524,0.009224276991327262,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4107,2020-07-05,0.31663404020311237,0.00820179222434724,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-07-05,0.2743496142893319,0.0071064959780934795,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4108,2020-07-05,0.391405376725935,0.010138599037990992,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4104,2020-07-05,0.14429487772495464,0.003737679642335675,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4109,2020-07-05,0.2402490534187791,0.006223186922583943,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4103,2020-07-05,0.1559076518147251,0.004038486088071841,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4105,2020-07-05,0.1210518410543094,0.0031356137453360067,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4101,2020-07-05,0.3561075447688524,0.009224276991327262,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4107,2020-07-06,0.31663404020311237,0.00820179222434724,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-07-06,0.2743496142893319,0.0071064959780934795,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4108,2020-07-06,0.391405376725935,0.010138599037990992,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4104,2020-07-06,0.14429487772495464,0.003737679642335675,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4109,2020-07-06,0.2402490534187791,0.006223186922583943,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4103,2020-07-06,0.1559076518147251,0.004038486088071841,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4105,2020-07-06,0.1210518410543094,0.0031356137453360067,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4101,2020-07-06,0.3561075447688524,0.009224276991327262,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4107,2020-07-07,0.31663404020311237,0.00820179222434724,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-07-07,0.2743496142893319,0.0071064959780934795,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4108,2020-07-07,0.391405376725935,0.010138599037990992,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4104,2020-07-07,0.14429487772495464,0.003737679642335675,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4109,2020-07-07,0.2402490534187791,0.006223186922583943,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4103,2020-07-07,0.1559076518147251,0.004038486088071841,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4105,2020-07-07,0.1210518410543094,0.0031356137453360067,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4101,2020-07-07,0.3561075447688524,0.009224276991327262,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4107,2020-07-08,0.31663404020311237,0.00820179222434724,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-07-08,0.2743496142893319,0.0071064959780934795,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4108,2020-07-08,0.391405376725935,0.010138599037990992,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4104,2020-07-08,0.14429487772495464,0.003737679642335675,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4109,2020-07-08,0.2402490534187791,0.006223186922583943,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4103,2020-07-08,0.1559076518147251,0.004038486088071841,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4105,2020-07-08,0.1210518410543094,0.0031356137453360067,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4101,2020-07-08,0.3561075447688524,0.009224276991327262,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4107,2020-07-09,0.31663404020311237,0.00820179222434724,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-07-09,0.2743496142893319,0.0071064959780934795,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4108,2020-07-09,0.391405376725935,0.010138599037990992,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4104,2020-07-09,0.14429487772495464,0.003737679642335675,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4109,2020-07-09,0.2402490534187791,0.006223186922583943,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4103,2020-07-09,0.1559076518147251,0.004038486088071841,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4105,2020-07-09,0.1210518410543094,0.0031356137453360067,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4101,2020-07-09,0.3561075447688524,0.009224276991327262,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4107,2020-07-12,0.31663404020311237,0.00820179222434724,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-07-12,0.2743496142893319,0.0071064959780934795,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4108,2020-07-12,0.391405376725935,0.010138599037990992,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4104,2020-07-12,0.14429487772495464,0.003737679642335675,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4109,2020-07-12,0.2402490534187791,0.006223186922583943,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4103,2020-07-12,0.1559076518147251,0.004038486088071841,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4105,2020-07-12,0.1210518410543094,0.0031356137453360067,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4101,2020-07-12,0.3561075447688524,0.009224276991327262,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4107,2020-07-13,0.31663404020311237,0.00820179222434724,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-07-13,0.2743496142893319,0.0071064959780934795,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4108,2020-07-13,0.391405376725935,0.010138599037990992,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4104,2020-07-13,0.14429487772495464,0.003737679642335675,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4109,2020-07-13,0.2402490534187791,0.006223186922583943,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4103,2020-07-13,0.1559076518147251,0.004038486088071841,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4105,2020-07-13,0.1210518410543094,0.0031356137453360067,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4101,2020-07-13,0.3561075447688524,0.009224276991327262,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4107,2020-07-14,0.6332680804062247,0.01640358444869448,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-07-14,0.5486992285786638,0.014212991956186959,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4108,2020-07-14,0.78281075345187,0.020277198075981984,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4104,2020-07-14,0.2885897554499093,0.00747535928467135,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4109,2020-07-14,0.4804981068375582,0.012446373845167885,2020-12-11 10:12:10.548655,tinkavalentijn
